1001,"PW003",1,170
1002,"PW003",2,147
1003,"PW003",3,142
1004,"PW004",1,170
1005,"PW004",2,147
1006,"PW004",3,137
1007,"PW004",4,130
1008,"PW004",5,123
1009,"PW005",1,170
1010,"PW005",2,147
1011,"PW005",3,139
1012,"PW005",4,144
1013,"PW006",1,170
1014,"PW006",2,147
1015,"PW006",3,142
1016,"PW006",4,146
1017,"PW008",1,170
1018,"PW008",2,147
1019,"PW008",3,140
1020,"PW008",4,132
1021,"PW009",1,170
1022,"PW009",2,147
1023,"PW009",3,141
1024,"PW009",4,135
1025,"PW010",1,170
1026,"PW010",2,147
1027,"PW010",3,141
1028,"PW010",4,133
1029,"PW011",1,170
1030,"PW011",2,147
1031,"PW011",3,139
1032,"PW011",4,145
1033,"PW012",1,170
1034,"PW012",2,147
1035,"PW012",3,138
1036,"PW012",4,131
1037,"PW012",5,124
1038,"PW013",1,205
1039,"PW013",2,178
1040,"PW013",3,114
1041,"PW014",1,175
1042,"PW014",2,163
1043,"PW014",3,153
1044,"PW014",4,151
1045,"PW014",5,150
1046,"PW014",6,173
1047,"PW014",7,112
1048,"PW015",1,209
1049,"PW015",2,196
1050,"PW015",3,191
1051,"PW015",4,185
1052,"PW015",5,173
1053,"PW015",6,112
1054,"PW016",1,210
1055,"PW016",2,201
1056,"PW016",3,186
1057,"PW016",4,193
1058,"PW016",5,184
1059,"PW016",6,174
1060,"PW016",7,113
1061,"PW017",1,207
1062,"PW017",2,186
1063,"PW017",3,193
1064,"PW017",4,184
1065,"PW017",5,174
1066,"PW017",6,113
1067,"PW018",1,169
1068,"PW018",2,110
1069,"PW018",3,107
1070,"PW018",4,108
1071,"PW019",1,169
1072,"PW019",2,110
1073,"PW019",3,106
1074,"PW019",4,109
1075,"PW019",5,103
1076,"PW020",1,169
1077,"PW020",2,110
1078,"PW020",3,106
1079,"PW020",4,109
1080,"PW020",5,102
1081,"PW020",6,111
1082,"PW021",1,169
1083,"PW021",2,110
1084,"PW021",3,106
1085,"PW021",4,109
1086,"PW021",5,104
1087,"PW021",6,105
1088,"PW022",1,166
1089,"PW022",2,157
1090,"PW023",1,166
1091,"PW023",2,157
1092,"PW023",3,152
1093,"PW024",1,165
1094,"PW025",1,149
1095,"PW025",2,181
1096,"PW025",3,172
1097,"PW026",1,166
1098,"PW026",2,156
1099,"PW026",3,160
1100,"PW027",1,182
1101,"PW027",2,119
1102,"PW027",3,120
1103,"PW027",4,118
1104,"PW028",1,166
1105,"PW028",2,158
1106,"PW029",1,182
1107,"PW029",2,119
1108,"PW029",3,120
1109,"PW029",4,118
1110,"PW029",5,164
1111,"PW029",6,154
1112,"PW030",1,182
1113,"PW030",2,119
1114,"PW030",3,120
1115,"PW030",4,118
1116,"PW030",5,164
1117,"PW030",6,162
1118,"PW030",7,161
1119,"PW031",1,166
1120,"PW031",2,155
1121,"PW032",1,218
1122,"PW032",2,219
1123,"PW032",3,189
1124,"PW032",4,190
1125,"PW032",5,183
1126,"PW033",1,209
1127,"PW033",2,197
1128,"PW035",1,207
1129,"PW035",2,188
1130,"PW035",3,217
1131,"PW036",1,207
1132,"PW036",2,188
1133,"PW037",1,207
1134,"PW037",2,187
1135,"PW037",3,202
1136,"PW038",1,209
1137,"PW038",2,224
1138,"PW039",1,206
1139,"PW040",1,206
1140,"PW040",2,221
1141,"PW041",1,218
1142,"PW042",1,218
1143,"PW042",2,220
1144,"PW043",1,209
1145,"PW043",2,196
1146,"PW043",3,191
1147,"PW044",1,148
1148,"PW044",2,167
1149,"PW044",3,179
1150,"PW044",4,176
1151,"PW045",1,148
1152,"PW045",2,180
1153,"PW045",3,168
1154,"PW045",4,177
1155,"PW046",1,171
1156,"PW046",2,213
1157,"PW046",3,215
1158,"PW047",1,209
1159,"PW047",2,195
1160,"PW047",3,223
1161,"PW048",1,171
1162,"PW048",2,212
1163,"PW048",3,204
1164,"PW049",1,171
1165,"PW049",2,213
1166,"PW049",3,215
1167,"PW049",4,222
1168,"PW050",1,171
1169,"PW050",2,212
1170,"PW051",1,171
1171,"PW051",2,213
1172,"PW052",1,171
1173,"PW052",2,213
1174,"PW052",3,214
1175,"PW053",1,171
1176,"PW053",2,213
1177,"PW053",3,216
1178,"PW053",4,203
1179,"PW054",1,171
1180,"PW054",2,213
1181,"PW054",3,216
1182,"PW054",4,203
1183,"PW054",5,194
1184,"PW055",1,171
1185,"PW055",2,211
1186,"PW055",3,199
1187,"PW056",1,171
1188,"PW056",2,211
1189,"PW056",3,200
1190,"PW056",4,192
1191,"PW057",1,182
1192,"PW057",2,116
1193,"PW057",3,117
1194,"PW057",4,115
1195,"PW057",5,101
1196,"PW058",1,172
1197,"PW058",2,225
1198,"PW059",1,170
1199,"PW059",2,147
1200,"PW059",3,139
1201,"PW059",4,145
1202,"PW059",5,226
1203,"PW060",1,169
1204,"PW060",2,110
1205,"PW060",3,227
1206,"PW060",4,228
1207,"PW061",1,229
1208,"PW062",1,171
